ts,swod_held_groups,swod_skip_cnt,swod_hold_cnt,swod_success_release_cnt
2026-04-06 04:56:35,64,28670,134817,84747
2026-04-06 04:56:36,64,28704,135650,84948
2026-04-06 04:56:37,64,28774,136266,84948
2026-04-06 04:56:38,64,28814,136784,84948
2026-04-06 04:56:39,64,28850,137371,84948
2026-04-06 04:56:40,64,28966,137933,84948
2026-04-06 04:56:41,64,29032,138457,84948
2026-04-06 04:56:42,64,29094,139043,84948
2026-04-06 04:56:44,64,29120,139642,84948
2026-04-06 04:56:45,64,29162,140240,84948
2026-04-06 04:56:46,64,29206,140869,84948
2026-04-06 04:56:47,64,29256,141443,84948
2026-04-06 04:56:48,64,29307,142030,84948
2026-04-06 04:56:49,64,29332,142526,84948
2026-04-06 04:56:50,64,29349,143038,84948
2026-04-06 04:56:51,64,29415,143569,84948
2026-04-06 04:56:52,5,29576,143667,84948
2026-04-06 04:56:53,11,29789,143718,84948
2026-04-06 04:56:54,14,29963,143779,84948
2026-04-06 04:56:55,13,30183,143851,84948
