ts,swod_hold_cnt,swod_success_release_cnt,swod_timeout_release_cnt,swod_pressure_release_cnt,swod_held_groups,swod_skip_cnt,back,mem_available_kb,min_mem_available_kb
2026-04-08 07:34:31,0,0,0,0,0,0,35198491,192138708,192074116
2026-04-08 07:34:32,0,0,0,0,0,0,30866121,192139628,192074116
2026-04-08 07:34:33,0,0,0,0,0,0,30769320,192139792,192074116
2026-04-08 07:34:35,0,0,0,0,0,0,30668077,192141044,192074116
2026-04-08 07:34:36,0,0,0,0,0,0,30557247,192139436,192074116
2026-04-08 07:34:37,0,0,0,0,0,0,30450196,192139732,192074116
2026-04-08 07:34:38,0,0,0,0,0,0,30329513,192141264,192074116
2026-04-08 07:34:39,0,0,0,0,0,0,30220286,192140324,192074116
2026-04-08 07:34:40,0,0,0,0,0,0,30096785,192141396,192074116
2026-04-08 07:34:41,0,0,0,0,0,0,29971580,192142756,192074116
2026-04-08 07:34:42,0,0,0,0,0,0,29835258,192141972,192074116
2026-04-08 07:34:43,0,0,0,0,0,0,29688350,192138928,192074116
2026-04-08 07:34:44,0,0,0,0,0,0,29547371,192138516,192074116
2026-04-08 07:34:45,0,0,0,0,0,0,29403177,192139424,192074116
2026-04-08 07:34:46,0,0,0,0,0,0,29245169,192141528,192074116
2026-04-08 07:34:47,0,0,0,0,0,0,29080292,192140848,192074116
2026-04-08 07:34:49,0,0,0,0,0,0,28923502,192140424,192074116
2026-04-08 07:34:50,0,0,0,0,0,0,28754643,192141472,192074116
2026-04-08 07:34:51,0,0,0,0,0,0,28584953,192139120,192074116
2026-04-08 07:34:52,0,0,0,0,0,0,28376363,192139308,192074116
2026-04-08 07:34:53,0,0,0,0,0,0,28158239,192139760,192074116
2026-04-08 07:34:54,0,0,0,0,0,0,27930923,192137520,192074116
2026-04-08 07:34:55,0,0,0,0,0,0,27694445,192138708,192074116
2026-04-08 07:34:56,0,0,0,0,0,0,27415092,192138480,192074116
2026-04-08 07:34:57,0,0,0,0,0,0,39241112,192138368,192074116
2026-04-08 07:34:58,0,0,0,0,0,0,39126424,192137288,192074116
2026-04-08 07:34:59,0,0,0,0,0,0,38979992,192137208,192074116
2026-04-08 07:35:00,0,0,0,0,0,0,38841240,192137416,192074116
2026-04-08 07:35:01,0,0,0,0,0,0,38692248,192136796,192074116
2026-04-08 07:35:03,0,0,0,0,0,0,38501272,192137880,192074116
2026-04-08 07:35:04,0,0,0,0,0,0,38290328,192136204,192074116
2026-04-08 07:35:05,0,0,0,0,0,0,38069656,192136080,192074116
2026-04-08 07:35:06,0,0,0,0,0,0,37832088,192136320,192074116
2026-04-08 07:35:07,0,0,0,0,0,0,37546392,192136984,192074116
2026-04-08 07:35:08,0,0,0,0,0,0,37205912,192136584,192074116
2026-04-08 07:35:09,0,0,0,0,0,0,36694424,192135180,192074116
2026-04-08 07:35:10,0,0,0,0,0,0,35859864,192136460,192074116
2026-04-08 07:35:11,0,0,0,0,0,0,33967000,192135980,192074116
2026-04-08 07:35:12,0,0,0,0,0,0,30303834,192136608,192074116
2026-04-08 07:35:13,0,0,0,0,0,0,30195311,192128204,192074116
2026-04-08 07:35:14,0,0,0,0,0,0,30086832,192135748,192074116
2026-04-08 07:35:15,0,0,0,0,0,0,29985119,192136376,192074116
2026-04-08 07:35:16,0,0,0,0,0,0,29873833,192137532,192074116
2026-04-08 07:35:18,0,0,0,0,0,0,29763565,192136256,192074116
2026-04-08 07:35:19,0,0,0,0,0,0,29643370,192134500,192074116
2026-04-08 07:35:20,0,0,0,0,0,0,29525951,192137296,192074116
2026-04-08 07:35:21,0,0,0,0,0,0,29409747,192137924,192074116
2026-04-08 07:35:22,0,0,0,0,0,0,29290600,192138532,192074116
2026-04-08 07:35:23,0,0,0,0,0,0,29173386,192136772,192074116
2026-04-08 07:35:24,0,0,0,0,0,0,29040888,192137628,192074116
2026-04-08 07:35:25,0,0,0,0,0,0,28921116,192137920,192074116
2026-04-08 07:35:26,0,0,0,0,0,0,28797132,192128924,192074116
2026-04-08 07:35:27,0,0,0,0,0,0,28668892,192128476,192074116
2026-04-08 07:35:28,0,0,0,0,0,0,33593920,192126712,192074116
2026-04-08 07:35:29,0,0,0,0,0,0,37810457,192127248,192074116
2026-04-08 07:35:30,0,0,0,0,0,0,37379865,192128708,192074116
2026-04-08 07:35:31,0,0,0,0,0,0,36843289,192128404,192074116
2026-04-08 07:35:33,0,0,0,0,0,0,36212505,192126912,192074116
2026-04-08 07:35:34,0,0,0,0,0,0,35244313,192116388,192074116
2026-04-08 07:35:35,0,0,0,0,0,0,32278809,192115268,192074116
2026-04-08 07:35:36,0,0,0,0,0,0,31367891,192113000,192074116
2026-04-08 07:35:37,0,0,0,0,0,0,31262998,192113848,192074116
2026-04-08 07:35:38,0,0,0,0,0,0,31154174,192113056,192074116
2026-04-08 07:35:39,0,0,0,0,0,0,31043610,192110752,192074116
2026-04-08 07:35:40,0,0,0,0,0,0,30933280,192091960,192074116
2026-04-08 07:35:41,0,0,0,0,0,0,30811895,192091496,192074116
2026-04-08 07:35:42,0,0,0,0,0,0,30691856,192091528,192074116
2026-04-08 07:35:43,0,0,0,0,0,0,30564186,192086996,192074116
2026-04-08 07:35:44,0,0,0,0,0,0,30438271,192062728,192062728
2026-04-08 07:35:45,0,0,0,0,0,0,30310044,192030848,192030848
2026-04-08 07:35:47,0,0,0,0,0,0,30165758,192009468,192009468
2026-04-08 07:35:48,0,0,0,0,0,0,30026805,191983956,191983956
2026-04-08 07:35:49,0,0,0,0,0,0,29865701,191954544,191954544
2026-04-08 07:35:50,0,0,0,0,0,0,29717568,191921220,191921220
2026-04-08 07:35:51,0,0,0,0,0,0,29532134,191888988,191888988
2026-04-08 07:35:52,0,0,0,0,0,0,29349295,191867932,191867932
2026-04-08 07:35:53,0,0,0,0,0,0,29168434,191857276,191857276
2026-04-08 07:35:54,0,0,0,0,0,0,28963548,191831796,191831796
2026-04-08 07:35:55,0,0,0,0,0,0,28736059,191821604,191821604
2026-04-08 07:35:56,0,0,0,0,0,0,28501239,191799720,191799720
2026-04-08 07:35:57,0,0,0,0,0,0,28234304,191795496,191795496
2026-04-08 07:35:58,0,0,0,0,0,0,27953592,191779876,191779876
2026-04-08 07:35:59,0,0,0,0,0,0,20683267,191772708,191772708
